,rho_brine,inj_rate,geo_grad,depth_bottom_usdw,depth_top_res,thick_res,perm_res,p_crit,plume_rad,pressure_front_rad
0,1020.0,0.25,25,100.0,800.0,50.0,800.0,1.372,3575.8389057898266,858.5959932573792
1,1020.0,0.25,25,100.0,800.0,50.0,850.0,1.372,3575.8389057898266,0.1
2,1020.0,0.25,25,100.0,800.0,75.0,800.0,1.372,3331.1861257020587,0.1
3,1020.0,0.25,25,100.0,800.0,75.0,850.0,1.372,3451.407913135139,0.1
4,1020.0,0.25,25,100.0,800.0,100.0,800.0,1.372,3451.407913135139,0.1
5,1020.0,0.25,25,100.0,800.0,100.0,850.0,1.372,3451.407913135139,0.1
6,1020.0,0.25,25,100.0,800.0,125.0,800.0,1.372,3331.1861257020587,0.1
7,1020.0,0.25,25,100.0,800.0,125.0,850.0,1.372,3451.407913135139,0.1
8,1020.0,0.25,25,100.0,800.0,150.0,800.0,1.372,3331.1861257020587,0.1
9,1020.0,0.25,25,100.0,800.0,150.0,850.0,1.372,3451.407913135139,0.1
10,1020.0,0.25,25,100.0,800.0,175.0,800.0,1.372,3451.407913135139,0.1
11,1020.0,0.25,25,100.0,800.0,175.0,850.0,1.372,3575.8389057898266,0.1
12,1020.0,0.25,25,100.0,800.0,200.0,800.0,1.372,3451.407913135139,0.1
13,1020.0,0.25,25,100.0,800.0,200.0,850.0,1.372,3575.8389057898266,0.1
14,1020.0,0.25,25,100.0,900.0,50.0,800.0,1.568,3215.03115606588,0.1
15,1020.0,0.25,25,100.0,900.0,50.0,850.0,1.568,3215.03115606588,0.1
16,1020.0,0.25,25,100.0,900.0,75.0,800.0,1.568,3102.8054334306075,0.1
17,1020.0,0.25,25,100.0,900.0,75.0,850.0,1.568,3215.03115606588,0.1
18,1020.0,0.25,25,100.0,900.0,100.0,800.0,1.568,3102.8054334306075,0.1
19,1020.0,0.25,25,100.0,900.0,100.0,850.0,1.568,3102.8054334306075,0.1
20,1020.0,0.25,25,100.0,900.0,125.0,800.0,1.568,3102.8054334306075,0.1
21,1020.0,0.25,25,100.0,900.0,125.0,850.0,1.568,3102.8054334306075,0.1
22,1020.0,0.25,25,100.0,900.0,150.0,800.0,1.568,3102.8054334306075,0.1
23,1020.0,0.25,25,100.0,900.0,150.0,850.0,1.568,3102.8054334306075,0.1
24,1020.0,0.25,25,100.0,900.0,175.0,800.0,1.568,3102.8054334306075,0.1
25,1020.0,0.25,25,100.0,900.0,175.0,850.0,1.568,3102.8054334306075,0.1
26,1020.0,0.25,25,100.0,900.0,200.0,800.0,1.568,3215.03115606588,0.1
27,1020.0,0.25,25,100.0,900.0,200.0,850.0,1.568,3215.03115606588,0.1
28,1020.0,0.25,25,100.0,1000.0,50.0,800.0,1.7640000000000002,2994.376040693835,0.1
29,1020.0,0.25,25,100.0,1000.0,50.0,850.0,1.7640000000000002,3102.8054334306075,0.1
30,1020.0,0.25,25,100.0,1000.0,75.0,800.0,1.7640000000000002,2889.614557023334,0.1
31,1020.0,0.25,25,100.0,1000.0,75.0,850.0,1.7640000000000002,2889.614557023334,0.1
32,1020.0,0.25,25,100.0,1000.0,100.0,800.0,1.7640000000000002,2889.614557023334,0.1
33,1020.0,0.25,25,100.0,1000.0,100.0,850.0,1.7640000000000002,2994.376040693835,0.1
34,1020.0,0.25,25,100.0,1000.0,125.0,800.0,1.7640000000000002,2889.614557023334,0.1
35,1020.0,0.25,25,100.0,1000.0,125.0,850.0,1.7640000000000002,2889.614557023334,0.1
36,1020.0,0.25,25,100.0,1000.0,150.0,800.0,1.7640000000000002,2889.614557023334,0.1
37,1020.0,0.25,25,100.0,1000.0,150.0,850.0,1.7640000000000002,2889.614557023334,0.1
38,1020.0,0.25,25,100.0,1000.0,175.0,800.0,1.7640000000000002,2889.614557023334,0.1
39,1020.0,0.25,25,100.0,1000.0,175.0,850.0,1.7640000000000002,2994.376040693835,0.1
40,1020.0,0.25,25,100.0,1000.0,200.0,800.0,1.7640000000000002,2889.614557023334,0.1
41,1020.0,0.25,25,100.0,1000.0,200.0,850.0,1.7640000000000002,2994.376040693835,0.1
42,1020.0,0.25,25,100.0,1100.0,50.0,800.0,1.9600000000000002,2889.614557023334,0.1
43,1020.0,0.25,25,100.0,1100.0,50.0,850.0,1.9600000000000002,2994.376040693835,0.1
44,1020.0,0.25,25,100.0,1100.0,75.0,800.0,1.9600000000000002,2788.396905758903,0.1
45,1020.0,0.25,25,100.0,1100.0,75.0,850.0,1.9600000000000002,2889.614557023334,0.1
46,1020.0,0.25,25,100.0,1100.0,100.0,800.0,1.9600000000000002,2788.396905758903,0.1
47,1020.0,0.25,25,100.0,1100.0,100.0,850.0,1.9600000000000002,2788.396905758903,0.1
48,1020.0,0.25,25,100.0,1100.0,125.0,800.0,1.9600000000000002,2788.396905758903,0.1
49,1020.0,0.25,25,100.0,1100.0,125.0,850.0,1.9600000000000002,2788.396905758903,0.1
50,1020.0,0.25,25,100.0,1100.0,150.0,800.0,1.9600000000000002,2788.396905758903,0.1
51,1020.0,0.25,25,100.0,1100.0,150.0,850.0,1.9600000000000002,2788.396905758903,0.1
52,1020.0,0.25,25,100.0,1100.0,175.0,800.0,1.9600000000000002,2788.396905758903,0.1
53,1020.0,0.25,25,100.0,1100.0,175.0,850.0,1.9600000000000002,2788.396905758903,0.1
54,1020.0,0.25,25,100.0,1100.0,200.0,800.0,1.9600000000000002,2889.614557023334,0.1
55,1020.0,0.25,25,100.0,1100.0,200.0,850.0,1.9600000000000002,2889.614557023334,0.1
56,1020.0,0.25,25,100.0,1200.0,50.0,800.0,2.156,2788.396905758903,0.1
57,1020.0,0.25,25,100.0,1200.0,50.0,850.0,2.156,2889.614557023334,0.1
58,1020.0,0.25,25,100.0,1200.0,75.0,800.0,2.156,2690.6032074593363,0.1
59,1020.0,0.25,25,100.0,1200.0,75.0,850.0,2.156,2788.396905758903,0.1
60,1020.0,0.25,25,100.0,1200.0,100.0,800.0,2.156,2788.396905758903,0.1
61,1020.0,0.25,25,100.0,1200.0,100.0,850.0,2.156,2788.396905758903,0.1
62,1020.0,0.25,25,100.0,1200.0,125.0,800.0,2.156,2690.6032074593363,0.1
63,1020.0,0.25,25,100.0,1200.0,125.0,850.0,2.156,2690.6032074593363,0.1
64,1020.0,0.25,25,100.0,1200.0,150.0,800.0,2.156,2690.6032074593363,0.1
65,1020.0,0.25,25,100.0,1200.0,150.0,850.0,2.156,2690.6032074593363,0.1
